DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|LookUp Ref|HardDeleteFlag|PartitionBy|NumPartitions|Rows|Note
PolicyCenterAgg.dbo.pctl_blanketgrouptype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_blankettype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_blockingaction|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bodytype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bopbuildingcov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bopcodeaffinityprgm_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bopconstructiontype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bopcost|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_boplocationcov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bopmodifier|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7actioncoastal_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7acvorreplacementcost|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7blanketitem|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7bldgcodeeffgradeclass|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7bldgcodeeffgrade|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7blkttype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7buildingcond|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7buildingcov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7buildingexcl|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7buildingschedcovitem|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7bundlecredit_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7classdescription|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7classificationcond|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7classificationcov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7classificationexcl|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7classificationproperty|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7classschedcovitem|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7constructiontype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7cost|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7doorstrength_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7egftype_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7eqzone|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7exposurebasis|Y||Truncate and Load|TypeList|||||
