DB/Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Final Harmonized Column Names (3)|Attributes from Lookup Table
policycenterlite.dbo.pcx_sa_smstemplates|TemplateId|ID|policycenterlite.dbo.pctl_SA_SMSTemplateId|pctl_SA_SMSTemplateId_TypeCode_TemplateId / pctl_SA_SMSTemplateId_Name_TemplateId / pctl_SA_SMSTemplateId_Description_TemplateId|TypeCode / Name / Description
policycenterlite.dbo.pcx_sccostedge|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_schedulecancellation_ext|CancelReasonCode|ID|policycenterlite.dbo.pctl_ReasonCode|pctl_ReasonCode_TypeCode_CancelReasonCode / pctl_ReasonCode_Name_CancelReasonCode / pctl_ReasonCode_Description_CancelReasonCode|TypeCode / Name / Description
policycenterlite.dbo.pcx_schedulecancellation_ext|RefundCalcMethod|ID|policycenterlite.dbo.pctl_CalculationMethod|pctl_CalculationMethod_TypeCode_RefundCalcMethod / pctl_CalculationMethod_Name_RefundCalcMethod / pctl_CalculationMethod_Description_RefundCalcMethod|TypeCode / Name / Description
policycenterlite.dbo.pcx_schedulecancellation_ext|Source|ID|policycenterlite.dbo.pctl_CancellationSource|pctl_CancellationSource_TypeCode_Source / pctl_CancellationSource_Name_Source / pctl_CancellationSource_Description_Source|TypeCode / Name / Description
policycenterlite.dbo.pcx_scheduledequipment_bp7|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_scheduleditem_hoe|AdditionalLimit|ID|policycenterlite.dbo.pctl_AdditionalLiabLimit_HOE|pctl_AdditionalLiabLimit_HOE_TypeCode_AdditionalLimit / pctl_AdditionalLiabLimit_HOE_Name_AdditionalLimit / pctl_AdditionalLiabLimit_HOE_Description_AdditionalLimit|TypeCode / Name / Description
policycenterlite.dbo.pcx_scheduleditem_hoe|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenterlite.dbo.pcx_scheduleditem_hoe|ScheduleType|ID|policycenterlite.dbo.pctl_ScheduleType_HOE|pctl_ScheduleType_HOE_TypeCode_ScheduleType / pctl_ScheduleType_HOE_Name_ScheduleType / pctl_ScheduleType_HOE_Description_ScheduleType|TypeCode / Name / Description
policycenterlite.dbo.pcx_scheduleditem_hoe|Subtype|ID|policycenterlite.dbo.pctl_ScheduledItem_HOE|pctl_ScheduledItem_HOE_TypeCode_Subtype / pctl_ScheduledItem_HOE_Name_Subtype / pctl_ScheduledItem_HOE_Description_Subtype|TypeCode / Name / Description
policycenterlite.dbo.pcx_scheduledpersonalproperty|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_scheduledpersonalproperty|persPropType|ID|policycenterlite.dbo.pctl_PersonalPropertyType_HOE|pctl_PersonalPropertyType_HOE_TypeCode / pctl_PersonalPropertyType_HOE_Name / pctl_PersonalPropertyType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_scriptparameter|ParameterType|ID|policycenterlite.dbo.pctl_ScriptParameterType|pctl_ScriptParameterType_TypeCode_ParameterType / pctl_ScriptParameterType_Name_ParameterType / pctl_ScriptParameterType_Description_ParameterType|TypeCode / Name / Description
policycenterlite.dbo.pcx_secseasresidenceloc|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_secseasresidenceloc|noOfFamilyUnits|ID|policycenterlite.dbo.pctl_FamilyUnits|pctl_FamilyUnits_TypeCode / pctl_FamilyUnits_Name / pctl_FamilyUnits_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_secseasresidencelocopprop|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_secseasresidencelocopprop|noOfFamilyUnitInMulDwell|ID|policycenterlite.dbo.pctl_FamilyUnitsMultiDwelling|pctl_FamilyUnitsMultiDwelling_TypeCode / pctl_FamilyUnitsMultiDwelling_Name / pctl_FamilyUnitsMultiDwelling_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_secseasresidencelocopprop|noOfFamilyUnitsSingleDwelling|ID|policycenterlite.dbo.pctl_FamilyUnitsOpProp|pctl_FamilyUnitsOpProp_TypeCode / pctl_FamilyUnitsOpProp_Name / pctl_FamilyUnitsOpProp_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_seczone_dsc_l10n|Language|ID|policycenterlite.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode_Language / pctl_LanguageType_Name_Language / pctl_LanguageType_Description_Language|TypeCode / Name / Description
policycenterlite.dbo.pc_seczone_nam_l10n|Language|ID|policycenterlite.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode_Language / pctl_LanguageType_Name_Language / pctl_LanguageType_Description_Language|TypeCode / Name / Description
policycenterlite.dbo.pcx_specialexclusiontable_ext|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_specsvcdesc_l10n|Language|ID|policycenterlite.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode_Language / pctl_LanguageType_Name_Language / pctl_LanguageType_Description_Language|TypeCode / Name / Description
policycenterlite.dbo.pc_specsvcname_l10n|Language|ID|policycenterlite.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode_Language / pctl_LanguageType_Name_Language / pctl_LanguageType_Description_Language|TypeCode / Name / Description
policycenterlite.dbo.pc_standardworkqueue|QueueType|ID|policycenterlite.dbo.pctl_BatchProcessType|pctl_BatchProcessType_TypeCode_QueueType / pctl_BatchProcessType_Name_QueueType / pctl_BatchProcessType_Description_QueueType|TypeCode / Name / Description
policycenterlite.dbo.pc_standardworkqueue|Status|ID|policycenterlite.dbo.pctl_WorkItemStatusType|pctl_WorkItemStatusType_TypeCode_Status / pctl_WorkItemStatusType_Name_Status / pctl_WorkItemStatusType_Description_Status|TypeCode / Name / Description
policycenterlite.dbo.pcx_synccoverage_ext|Line|ID|policycenterlite.dbo.pctl_PolicyLine|pctl_PolicyLine_TypeCode_Line / pctl_PolicyLine_Name_Line / pctl_PolicyLine_Description_Line|TypeCode / Name / Description
policycenterlite.dbo.pc_tableupdatestatsstatement|UpdateStatsType|ID|policycenterlite.dbo.pctl_TableUpdateStatsType|pctl_TableUpdateStatsType_TypeCode_UpdateStatsType / pctl_TableUpdateStatsType_Name_UpdateStatsType / pctl_TableUpdateStatsType_Description_UpdateStatsType|TypeCode / Name / Description
policycenterlite.dbo.pcx_taxcodelookupresponse_ext|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_taxlocation|State|ID|policycenterlite.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode / pctl_Jurisdiction_Name / pctl_Jurisdiction_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_telematics_ext|DisplayStatus|ID|policycenterlite.dbo.pctl_TelematicsStatus_Ext|pctl_TelematicsStatus_Ext_TypeCode / pctl_TelematicsStatus_Ext_Name / pctl_TelematicsStatus_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_telematics_ext|Status|ID|policycenterlite.dbo.pctl_PAStreetSmartStatus|pctl_PAStreetSmartStatus_TypeCode / pctl_PAStreetSmartStatus_Name / pctl_PAStreetSmartStatus_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_telematics_ext|TelematicsCompatibility_Ext|ID|policycenterlite.dbo.pctl_VehicleCompatibility_Ext|pctl_VehicleCompatibility_Ext_TypeCode_TelematicsCompatibility_Ext / pctl_VehicleCompatibility_Ext_Name_TelematicsCompatibility_Ext / pctl_VehicleCompatibility_Ext_Description_TelematicsCompatibility_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_TemplateDescriptorExt|Subtype|ID|policycenterlite.dbo.pctl_TemplateDescriptorExt|pctl_TemplateDescriptorExt_TypeCode_Subtype / pctl_TemplateDescriptorExt_Name_Subtype / pctl_TemplateDescriptorExt_Description_Subtype|TypeCode / Name / Description
policycenterlite.dbo.pcx_termsandconditions_ext|LegalDescription|ID|policycenterlite.dbo.pctl_LegalClassification|pctl_LegalClassification_TypeCode / pctl_LegalClassification_Name / pctl_LegalClassification_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_termsandconditions_ext|Product|ID|policycenterlite.dbo.pctl_PolicyLine|pctl_PolicyLine_TypeCode / pctl_PolicyLine_Name / pctl_PolicyLine_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_termsandconditions_ext|State|ID|policycenterlite.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode / pctl_Jurisdiction_Name / pctl_Jurisdiction_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_territorycode|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_territorycode|Subtype|ID|policycenterlite.dbo.pctl_TerritoryCode|pctl_TerritoryCode_TypeCode / pctl_TerritoryCode_Name / pctl_TerritoryCode_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_terrorismcoverage_ext|Subtype|ID|policycenterlite.dbo.pctl_TerrorismCoverage_Ext|pctl_TerrorismCoverage_Ext_TypeCode / pctl_TerrorismCoverage_Ext_Name / pctl_TerrorismCoverage_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_terrorismend_ext|Jurisdiction|ID|policycenterlite.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode / pctl_Jurisdiction_Name / pctl_Jurisdiction_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_thirdpartyorgs_ext|Jurisdiction|ID|policycenterlite.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode1 / pctl_Jurisdiction_Name1 / pctl_Jurisdiction_Description1|TypeCode / Name / Description
policycenterlite.dbo.pcx_thirdpartyorgs_ext|State|ID|policycenterlite.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode2 / pctl_Jurisdiction_Name2 / pctl_Jurisdiction_Description2|TypeCode / Name / Description
policycenterlite.dbo.pcx_uladditionalinterests_ext|AdditionalInterestType_Ext|ID|policycenterlite.dbo.pctl_AdditionalInterestType|pctl_AdditionalInterestType_TypeCode / pctl_AdditionalInterestType_Name / pctl_AdditionalInterestType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_uladditionalinterests_ext|AddressType_Ext|ID|policycenterlite.dbo.pctl_AddressType|pctl_AddressType_TypeCode / pctl_AddressType_Name / pctl_AddressType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_uladditionalinterests_ext|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_uladditionalinterests_ext|ContactType_Ext|ID|policycenterlite.dbo.pctl_ContactType|pctl_ContactType_TypeCode / pctl_ContactType_Name / pctl_ContactType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_uladditionalinterests_ext|Country_Ext|ID|policycenterlite.dbo.pctl_Country|pctl_Country_TypeCode / pctl_Country_Name / pctl_Country_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_uladditionalinterests_ext|Gender_Ext|ID|policycenterlite.dbo.pctl_GenderType|pctl_GenderType_TypeCode / pctl_GenderType_Name / pctl_GenderType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_uladditionalinterests_ext|LicenseState_Ext|ID|policycenterlite.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode / pctl_Jurisdiction_Name / pctl_Jurisdiction_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_uladditionalinterests_ext|MaritalStatus_Ext|ID|policycenterlite.dbo.pctl_MaritalStatus|pctl_MaritalStatus_TypeCode / pctl_MaritalStatus_Name / pctl_MaritalStatus_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_uladditionalinterests_ext|OccupationType_Ext|ID|policycenterlite.dbo.pctl_OccupationType|pctl_OccupationType_TypeCode /  pctl_OccupationType_Name /  pctl_OccupationType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_uladditionalinterests_ext|PrimaryPhone_Ext|ID|policycenterlite.dbo.pctl_PrimaryPhoneType|pctl_PrimaryPhoneType_TypeCode /  pctl_PrimaryPhoneType_Name /  pctl_PrimaryPhoneType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_uladditionalinterests_ext|RelationshipToInsured_Ext|ID|policycenterlite.dbo.pctl_RelationshipToInsured|pctl_RelationshipToInsured_TypeCode /  pctl_RelationshipToInsured_Name /  pctl_RelationshipToInsured_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_uladditionalinterests_ext|State_Ext|ID|policycenterlite.dbo.pctl_State|pctl_State_TypeCode /  pctl_State_Name /  pctl_State_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_uladditionalinterests_ext|Suffix_Ext|ID|policycenterlite.dbo.pctl_NameSuffix|pctl_NameSuffix_TypeCode / pctl_NameSuffix_Name / pctl_NameSuffix_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulbp7details|BasisType_Ext|ID|policycenterlite.dbo.pctl_BP7ExposureBasis|pctl_BP7ExposureBasis_TypeCode_BasisType_Ext / pctl_BP7ExposureBasis_Name_BasisType_Ext / pctl_BP7ExposureBasis_Description_BasisType_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulbp7details|BusinessType_Ext|ID|policycenterlite.dbo.pctl_BP7PropertyType|pctl_BP7PropertyType_TypeCode_BusinessType_Ext / pctl_BP7PropertyType_Name_BusinessType_Ext / pctl_BP7PropertyType_Description_BusinessType_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulbp7details|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulbp7details|ClassificationDescription_Ext|ID|policycenterlite.dbo.pctl_BP7ClassDescription|pctl_BP7ClassDescription_TypeCode_ClassificationDescription_Ext / pctl_BP7ClassDescription_Name_ClassificationDescription_Ext / pctl_BP7ClassDescription_Description_ClassificationDescription_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7addlinterestext|AdditionalInterestType_Ext|ID|policycenterlite.dbo.pctl_AdditionalInterestType|pctl_AdditionalInterestType_TypeCode_AdditionalInterestType_Ext / pctl_AdditionalInterestType_Name_AdditionalInterestType_Ext / pctl_AdditionalInterestType_Description_AdditionalInterestType_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7addlinterestext|AddlInterestState_Ext|ID|policycenterlite.dbo.pctl_State|pctl_State_TypeCode_AddlInterestState_Ext / pctl_State_Name_AddlInterestState_Ext / pctl_State_Description_AddlInterestState_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7addlinterestext|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|CA7PrivatePasseType_Ext|ID|policycenterlite.dbo.pctl_CA7PrivatePassengerType|pctl_CA7PrivatePassengerType_TypeCode_CA7PrivatePasseType_Ext / pctl_CA7PrivatePassengerType_Name_CA7PrivatePasseType_Ext / pctl_CA7PrivatePassengerType_Description_CA7PrivatePasseType_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|CA7PublicTransFleet_Ext|ID|policycenterlite.dbo.pctl_ca7publictransportationfl|pctl_ca7publictransportationfl_TypeCode_CA7PublicTransFleet_Ext / pctl_ca7publictransportationfl_Name_CA7PublicTransFleet_Ext / pctl_ca7publictransportationfl_Description_CA7PublicTransFleet_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|CA7PublicTransRadiusClass_Ext|ID|policycenterlite.dbo.pctl_ca7publictransportationra|pctl_ca7publictransportationra_TypeCode_CA7PublicTransRadiusClass_Ext / pctl_ca7publictransportationra_Name_CA7PublicTransRadiusClass_Ext / pctl_ca7publictransportationra_Description_CA7PublicTransRadiusClass_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|CA7PublicTransType_Ext|ID|policycenterlite.dbo.pctl_ca7publictransportationty|pctl_ca7publictransportationty_TypeCode_CA7PublicTransType_Ext / pctl_ca7publictransportationty_Name_CA7PublicTransType_Ext / pctl_ca7publictransportationty_Description_CA7PublicTransType_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|CA7PvtPssengrOptExp_Ext|ID|policycenterlite.dbo.pctl_ca7privatepassengeroperat|pctl_ca7privatepassengeroperat_TypeCode_CA7PvtPssengrOptExp_Ext / pctl_ca7privatepassengeroperat_Name_CA7PvtPssengrOptExp_Ext / pctl_ca7privatepassengeroperat_Description_CA7PvtPssengrOptExp_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|CA7PvtPssgrFleet_Ext|ID|policycenterlite.dbo.pctl_CA7PrivatePassengerFleet|pctl_CA7PrivatePassengerFleet_TypeCode_CA7PvtPssgrFleet_Ext / pctl_CA7PrivatePassengerFleet_Name_CA7PvtPssgrFleet_Ext / pctl_CA7PrivatePassengerFleet_Description_CA7PvtPssgrFleet_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|CA7PvtPssgrUse_Ext|ID|policycenterlite.dbo.pctl_CA7PrivatePassengerUse|pctl_CA7PrivatePassengerUse_TypeCode_CA7PvtPssgrUse_Ext / pctl_CA7PrivatePassengerUse_Name_CA7PvtPssgrUse_Ext / pctl_CA7PrivatePassengerUse_Description_CA7PvtPssgrUse_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|CA7SeatingCapacity_Ext|ID|policycenterlite.dbo.pctl_CA7SeatingCapacity|pctl_CA7SeatingCapacity_TypeCode_CA7SeatingCapacity_Ext / pctl_CA7SeatingCapacity_Name_CA7SeatingCapacity_Ext / pctl_CA7SeatingCapacity_Description_CA7SeatingCapacity_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|CA7SpecialTypesClass_Ext|ID|policycenterlite.dbo.pctl_CA7SpecialTypesClass|pctl_CA7SpecialTypesClass_TypeCode_CA7SpecialTypesClass_Ext / pctl_CA7SpecialTypesClass_Name_CA7SpecialTypesClass_Ext / pctl_CA7SpecialTypesClass_Description_CA7SpecialTypesClass_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|CA7SpecialTypesSupplType2_Ext|ID|policycenterlite.dbo.pctl_ca7specialtypessupplement|pctl_ca7specialtypessupplement_TypeCode_CA7SpecialTypesSupplType2_Ext / pctl_ca7specialtypessupplement_Name_CA7SpecialTypesSupplType2_Ext / pctl_ca7specialtypessupplement_Description_CA7SpecialTypesSupplType2_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|CA7SpecialTypesType1_Ext|ID|policycenterlite.dbo.pctl_CA7SpecialTypesType1|pctl_CA7SpecialTypesType1_TypeCode_CA7SpecialTypesType1_Ext / pctl_CA7SpecialTypesType1_Name_CA7SpecialTypesType1_Ext / pctl_CA7SpecialTypesType1_Description_CA7SpecialTypesType1_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|CA7Truck_BusinessUseClass_Ext|ID|policycenterlite.dbo.pctl_CA7BusinessUseClass|pctl_CA7BusinessUseClass_TypeCode_CA7Truck_BusinessUseClass_Ext / pctl_CA7BusinessUseClass_Name_CA7Truck_BusinessUseClass_Ext / pctl_CA7BusinessUseClass_Description_CA7Truck_BusinessUseClass_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|CA7Truck_RadiusClass_Ext|ID|policycenterlite.dbo.pctl_CA7TruckRadiusClass|pctl_CA7TruckRadiusClass_TypeCode_CA7Truck_RadiusClass_Ext / pctl_CA7TruckRadiusClass_Name_CA7Truck_RadiusClass_Ext / pctl_CA7TruckRadiusClass_Description_CA7Truck_RadiusClass_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|CA7Truck_Size_Ext|ID|policycenterlite.dbo.pctl_CA7SizeClass|pctl_CA7SizeClass_TypeCode_CA7Truck_Size_Ext / pctl_CA7SizeClass_Name_CA7Truck_Size_Ext / pctl_CA7SizeClass_Description_CA7Truck_Size_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|CA7TruckFleet_Ext|ID|policycenterlite.dbo.pctl_CA7TruckFleet|pctl_CA7TruckFleet_TypeCode_CA7TruckFleet_Ext / pctl_CA7TruckFleet_Name_CA7TruckFleet_Ext / pctl_CA7TruckFleet_Description_CA7TruckFleet_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|CA7TruckSecondaryClass_Ext|ID|policycenterlite.dbo.pctl_ca7trucksecondaryclassifi|pctl_ca7trucksecondaryclassifi_TypeCode_CA7TruckSecondaryClass_Ext / pctl_ca7trucksecondaryclassifi_Name_CA7TruckSecondaryClass_Ext / pctl_ca7trucksecondaryclassifi_Description_CA7TruckSecondaryClass_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulca7details|VehicleType|ID|policycenterlite.dbo.pctl_CA7VehicleType|pctl_CA7VehicleType_TypeCode_VehicleType / pctl_CA7VehicleType_Name_VehicleType / pctl_CA7VehicleType_Description_VehicleType|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcov_pue|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcov_pue|Currency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode / pctl_Currency_Name / pctl_Currency_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcov_pue|Subtype|ID|policycenterlite.dbo.pctl_ULCov_PUE|pctl_ULCov_PUE_TypeCode / pctl_ULCov_PUE_Name / pctl_ULCov_PUE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcuautodriver_ext|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcuautodriver_ext|DriverStatus|ID|policycenterlite.dbo.pctl_CA7DriverStatus_Ext|pctl_CA7DriverStatus_Ext_TypeCode / pctl_CA7DriverStatus_Ext_Name / pctl_CA7DriverStatus_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcuautodriver_ext|Gender|ID|policycenterlite.dbo.pctl_GenderType|pctl_GenderType_TypeCode / pctl_GenderType_Name / pctl_GenderType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcuautodriver_ext|LicenseState|ID|policycenterlite.dbo.pctl_State|pctl_State_TypeCode / pctl_State_Name / pctl_State_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcuautodriver_ext|MaritalStatus|ID|policycenterlite.dbo.pctl_MaritalStatus|pctl_MaritalStatus_TypeCode / pctl_MaritalStatus_Name / pctl_MaritalStatus_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcuautodriver_ext|MVROrderStatus|ID|policycenterlite.dbo.pctl_MVRStatus|pctl_MVRStatus_TypeCode / pctl_MVRStatus_Name / pctl_MVRStatus_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcuautodriver_ext|YearsExperience|ID|policycenterlite.dbo.pctl_DriverExperience|pctl_DriverExperience_TypeCode / pctl_DriverExperience_Name / pctl_DriverExperience_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcucovtermpremium_ext|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcupolicy_ext|Carrier|ID|policycenterlite.dbo.pctl_ULCarrier_PUE|pctl_ULCarrier_PUE_TypeCode / pctl_ULCarrier_PUE_Name / pctl_ULCarrier_PUE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcupolicy_ext|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcupolicy_ext|PreferredCoverageCurrency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode / pctl_Currency_Name / pctl_Currency_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcupolicy_ext|ULPolicyType|ID|policycenterlite.dbo.pctl_CUPolicyType_Ext|pctl_CUPolicyType_Ext_TypeCode / pctl_CUPolicyType_Ext_Name / pctl_CUPolicyType_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcupolicy_extcond|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcupolicy_extcond|Currency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode / pctl_Currency_Name / pctl_Currency_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcupolicy_extcond|Subtype|ID|policycenterlite.dbo.pctl_ULCUPolicy_ExtCond|pctl_ULCUPolicy_ExtCond_TypeCode / pctl_ULCUPolicy_ExtCond_Name / pctl_ULCUPolicy_ExtCond_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcupolicy_extcov|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ulcupolicy_extcov|Currency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode / pctl_Currency_Name / pctl_Currency_Description|TypeCode / Name / Description
